"ID","GROUP","CHEF_CLUB","NUM_DEAL","LAST_DEAL","ADVANCE_PURCHASE","FARE_L_Y1","FARE_L_Y2","FARE_L_Y3","FARE_L_Y4","FARE_L_Y5","POINTS_L_Y1","POINTS_L_Y2","POINTS_L_Y3","POINTS_L_Y4","POINTS_L_Y5","CALL_FLAG","CREDIT_PROBLEM","RETURN_FLAG","BENEFIT_FLAG","BUYER_FLAG"
45017,2,0,3,43.3,20,122.5,122.5,122.5,119.2,117.5,169.2,131.8,95.3,96.5,117.2,0,0,0,0,0
45018,3,0,3,43.3,15,123.3,129.2,124.2,124.2,123.3,124.4,157.2,146.8,111.8,158.3,0,0,0,0,0
45019,4,0,3,53.3,24,125,147.5,145,149.2,157.5,131,179.8,176.2,167.8,169.2,0,0,0,0,0
45020,2,0,10,16.7,15,119.2,131.7,125.8,130,144.2,140.2,140.3,169.2,156.1,141.2,0,0,0,0,0
45021,5,0,2,60,25,119.2,116.7,115.8,109.2,115.8,131.2,112.8,122.2,140.1,151.4,0,0,0,0,0
45022,1,0,6,36.7,23,215,210.8,216.7,212.5,200.8,191.7,206.3,160.1,181.8,185.5,1,0,0,1,0
45023,2,0,1,110,17,117.5,109.2,115.8,115,105.8,90.3,91.6,76.9,85.4,94.4,0,0,0,0,0
45024,5,0,5,33.3,18,142.5,150.8,148.3,153.3,157.5,181.5,178.8,171.8,195.7,173.2,0,0,0,1,0
45025,3,0,7,16.7,21,108.3,107.5,114.2,110.8,123.3,92.2,142.2,147,129.6,106.7,0,0,0,0,0
45026,2,0,6,20,27,115,117.5,117.5,83.3,110.8,100.8,113.8,159.9,147.1,147.4,0,0,0,0,0
45027,4,0,6,50,20,285,279.2,291.7,289.2,277.5,289.4,277.8,278.5,305.2,291.2,0,0,0,1,0
45028,4,0,5,36.7,20,173.3,174.2,172.5,178.3,185.8,200.7,197.2,232.9,238.8,201.2,0,0,0,0,0
45029,5,0,6,20,15,99.2,105.8,115.8,115,111.7,123,109.3,80.2,55.1,87.7,0,0,0,0,0
45030,1,0,5,30,17,145.8,155,148.3,150.8,143.3,160.7,154.3,169.9,165.1,132.9,0,0,0,0,0
45031,4,0,4,36.7,12,122.5,125,137.5,141.7,133.3,149.4,151.7,136.7,122.3,143,0,0,0,0,0
45032,3,0,2,76.7,23,111.7,115,131.7,140,147.5,134.2,118.5,128.7,120.2,155.3,0,0,0,0,0
45033,3,0,3,73.3,20,199.2,220,199.2,202.5,219.2,207.7,244.8,185.8,176.8,175.8,0,0,0,0,0
45034,2,0,5,26.7,21,119.2,114.2,135,145.8,138.3,175.7,132.5,162.2,168,158.4,0,0,0,0,0
45035,3,0,2,80,22,125.8,139.2,155,153.3,156.7,145.1,148.2,170.5,147.1,156.4,0,0,0,0,0
45036,5,0,4,40,16,128.3,125.8,137.5,160,160,113.8,142,134.8,126,159.5,0,0,0,0,0
45037,2,0,4,43.3,19,170,163.3,167.5,170.8,165.8,158.8,118.1,127,110.1,150,0,0,0,0,0
45038,2,0,6,23.3,15,146.7,149.2,141.7,140.8,139.2,136.8,117.8,152.2,145.4,123.8,0,0,0,0,0
45039,2,0,4,36.7,18,139.2,142.5,145,158.3,160.8,122.8,161.9,158.7,152.5,166.2,0,0,0,0,0
45040,3,0,5,30,19,146.7,149.2,148.3,151.7,151.7,128.8,142,150.2,125.7,146.8,0,1,0,0,0
45041,1,0,5,56.7,22,270.8,272.5,270,272.5,265.8,221.6,230.4,230.9,257.1,239.7,0,0,0,0,0
45042,4,0,8,20,27,145.8,145.8,142.5,146.7,143.3,134.2,137.6,127.8,134.4,135.4,0,1,0,0,0
45043,4,0,4,26.7,23,104.2,97.5,95,88.3,98.3,110.3,98.4,113.6,108.8,96.9,0,0,0,0,0
45044,3,0,1,160,16,157.5,152.5,154.2,165,171.7,149.8,172.9,165.9,168.1,173.1,0,1,0,0,0
45045,4,0,2,96.7,20,182.5,187.5,179.2,176.7,179.2,125.4,165.2,184.8,176.8,147.4,0,0,0,0,0
45046,4,0,6,23.3,24,131.7,117.5,112.5,103.3,99.2,104.6,49,52.8,85.6,90,0,0,0,0,0
45047,1,0,2,76.7,12,150,154.2,158.3,153.3,149.2,138.2,157.2,158.2,166.4,163.2,0,0,0,0,0
45048,3,0,4,83.3,24,258.3,325,330,320.8,267.5,277.6,257.8,267.2,244,234.5,1,0,0,0,0
45049,4,0,7,23.3,20,145,145,140,138.3,142.5,155.8,116.9,95.5,95.4,132.7,0,0,0,0,0
45050,4,0,4,26.7,15,120.8,114.2,106.7,102.5,105.8,98.8,98.1,117,93.9,114.2,0,0,0,0,0
45051,4,0,6,40,23,246.7,235.8,240,236.7,246.7,221.4,264.7,247,306.6,298.1,0,0,0,0,0
45052,4,0,2,56.7,18,118.3,114.2,115,107.5,107.5,185.8,116.2,136.8,117.6,81.3,0,0,0,0,0
45053,2,0,3,83.3,21,245.8,252.5,245.8,245.8,250.8,237.3,248.6,280.2,265.6,282.4,0,0,0,1,0
45054,4,0,3,43.3,17,128.3,123.3,120.8,112.5,114.2,91.2,82.5,96.8,96.3,139.4,0,0,0,0,0
45055,3,0,5,43.3,19,210.8,214.2,218.3,210.8,212.5,219.5,189,241.7,266.9,243.5,0,0,0,0,0
45056,4,0,5,23.3,17,108.3,111.7,109.2,119.2,107.5,163.2,172.7,157.9,147.3,89.8,0,1,0,0,0
45057,5,0,6,23.3,23,123.3,121.7,135.8,141.7,120,119.8,95.2,104.5,123.5,131.6,0,0,0,0,0
45058,2,0,1,113.3,15,107.5,104.2,113.3,105.8,103.3,185.1,141.8,128.8,94.9,89.7,0,0,0,0,0
45059,2,0,7,16.7,26,105,102.5,100.8,97.5,99.2,53.1,58.2,47.2,75.4,72.2,0,1,0,0,0
45060,4,0,2,60,11,118.3,121.7,121.7,118.3,120,87.5,79.5,107.4,87.8,122.8,0,1,0,0,0
45061,3,0,7,16.7,18,101.7,95,96.7,115,106.7,97.2,150.8,124.5,103.2,122.4,0,0,0,0,0
45062,4,0,5,30,19,152.5,145.8,149.2,145.8,142.5,123.6,134.2,127.8,106.2,128.1,0,0,0,0,0
45063,1,0,3,43.3,17,122.5,120,123.3,123.3,120.8,137.2,94.9,109.1,107.6,109.8,0,1,0,0,0
45064,4,0,5,26.7,22,127.5,121.7,128.3,115,108.3,81.8,124.8,106.1,105,139.2,0,0,0,0,0
45065,4,0,2,56.7,25,114.2,105.8,111.7,113.3,112.5,95.6,151.6,108.4,81.2,125,0,0,0,0,0
45066,5,0,2,70,23,150,145.8,143.3,143.3,139.2,200.5,210.9,250.2,180.1,140.5,0,0,0,1,0
45067,1,0,5,30,23,101.7,119.2,142.5,137.5,98.3,72.2,70.1,75.7,111.2,118,0,0,0,0,0
45068,1,0,3,40,17,114.2,108.3,111.7,120.8,110,95,149.9,149.5,95.1,89.4,0,0,0,0,0
45069,3,0,5,23.3,20,108.3,118.3,128.3,121.7,124.2,132.2,148.7,148.1,160.2,149.2,0,0,0,0,0
45070,1,0,2,146.7,26,291.7,297.5,270.8,285.8,301.7,194.6,227.2,224.8,257.8,273.9,0,1,0,1,0
45071,2,0,2,73.3,24,141.7,150,185.8,230.8,156.7,149.4,138.4,165.2,153.3,164.3,0,0,0,0,0
45072,5,0,2,83.3,29,163.3,140.8,145.8,140,143.3,128.5,143,143,135.6,121.9,0,0,0,0,0
45073,5,0,3,46.7,19,131.7,134.2,125.8,130,137.5,95.2,94.2,90.9,111.1,135.4,0,0,0,0,0
45074,2,0,9,16.7,21,140.8,147.5,156.7,146.7,132.5,185.2,158.1,158.8,117.8,100.3,0,0,0,0,0
45075,2,0,1,106.7,12,100.8,95.8,105.8,110,104.2,94.3,94.9,86,80.6,78.2,0,0,0,0,0
45076,4,0,3,40,18,112.5,110.8,119.2,114.2,120,122,122.5,119.7,119.8,151.3,0,0,0,0,0
45077,2,0,2,80,27,151.7,145.8,154.2,140,139.2,140.2,145.5,150.2,142.8,102.8,0,0,0,0,0
45078,3,0,2,80,18,140.8,148.3,155,155,146.7,176.6,174,131.5,125.2,129,0,0,0,0,0
45079,4,0,0,0,19,152.5,148.3,143.3,137.5,145,176.6,139.8,133.1,148.8,178.8,0,1,0,0,0
45080,4,0,2,73.3,26,150.8,139.2,145,143.3,151.7,219.4,171.2,140.8,165.3,177.8,0,0,0,0,0
45081,4,0,4,36.7,20,152.5,168.3,161.7,151.7,140,178.5,214.9,164.2,150.8,156.9,0,0,0,0,0
45082,3,0,7,30,25,200.8,196.7,202.5,206.7,206.7,250.2,174.8,163.4,161.7,218.1,1,0,0,1,0
45083,4,0,5,23.3,20,116.7,107.5,113.3,109.2,108.3,156.8,143.3,129,103.2,95.8,0,1,0,0,0
45084,4,0,5,16.7,29,89.2,80,79.2,74.2,110,149.2,187.5,141.1,119.9,94.3,0,0,0,0,0
45085,5,0,8,0,19,99.2,105,109.2,120,112.5,71.2,53.6,73.2,84.9,86.5,0,0,0,0,0
45086,2,0,4,36.7,24,149.2,135.8,115,100.8,99.2,195.1,161.3,125.8,110.5,110.5,0,0,0,0,0
45087,1,0,4,30,13,122.5,124.2,117.5,120,119.2,105.8,149.2,143.2,146.2,150.8,0,0,0,0,0
45088,5,0,3,53.3,25,157.5,153.3,162.5,166.7,157.5,107.6,92.7,136.6,166.2,169.1,0,0,0,0,0
45089,4,0,3,73.3,21,203.3,215,215.8,216.7,214.2,245.9,226.5,199.4,187.8,218.3,1,0,0,0,0
45090,2,0,8,0,17,110,96.7,104.2,108.3,115,81.8,56.2,65.6,65.8,104.8,0,1,0,0,0
45091,2,0,2,53.3,14,107.5,113.3,105.8,106.7,113.3,137.2,126.2,157.1,140.5,129,0,1,0,0,0
45092,3,0,4,30,21,116.7,115,117.5,121.7,116.7,75.7,98.8,125.8,139.1,144.8,0,0,0,0,0
45093,3,0,4,46.7,25,199.2,186.7,178.3,184.2,185,208.1,185.8,183.4,175.4,159.6,1,0,0,0,0
45094,5,0,2,60,18,106.7,106.7,101.7,105.8,116.7,223.8,160.4,134.9,141.9,168.2,0,0,0,0,0
45095,2,0,5,36.7,21,176.7,178.3,181.7,172.5,177.5,181.3,214.2,224.7,229.3,171.3,0,0,0,1,0
45096,5,0,1,120,21,114.2,117.5,120,130,121.7,166.4,128.5,109.1,134.2,123.8,0,0,0,0,0
45097,5,0,2,153.3,22,314.2,305.8,304.2,300,300,261.8,237.8,236,270.3,265.7,0,1,1,1,0
45098,2,0,9,16.7,20,127.5,135,140,141.7,143.3,111.6,139.5,126.8,137.8,151.4,0,0,0,0,0
45099,1,0,3,36.7,19,110,96.7,100.8,100.8,90,89.6,71.6,36.3,69.3,69.2,0,0,0,0,0
45100,3,0,2,63.3,19,116.7,120,116.7,124.2,127.5,116.4,148.1,121,180.7,172.1,0,0,0,0,0
45101,2,0,2,66.7,26,118.3,120.8,129.2,120.8,118.3,143.1,144.8,153.2,155.8,155.5,0,0,0,0,0
45102,1,0,4,66.7,22,264.2,224.2,244.2,293.3,303.3,213.8,230.2,230.6,252.6,266.5,1,0,0,0,0
45103,1,0,1,116.7,18,120.8,109.2,117.5,115.8,119.2,133,90.4,110.1,96.2,122.6,0,0,0,0,0
45104,2,0,4,33.3,16,115,114.2,111.7,110,127.5,126.2,162.1,160.6,131.3,123.2,0,0,0,0,0
45105,3,0,2,70,27,140,127.5,139.2,140,129.2,118.7,126.8,178.4,175,104.8,0,0,0,0,0
45106,1,0,5,23.3,15,128.3,133.3,114.2,129.2,128.3,195.1,171.7,114.7,107.7,94.8,0,0,0,0,0
45107,1,0,3,33.3,16,100,108.3,92.5,85.8,50.8,131.2,91.3,58.1,64.8,68.5,0,0,0,0,0
45108,3,0,5,46.7,23,237.5,230,218.3,225.8,254.2,222.4,236,214,194.7,233.5,0,0,0,0,0
45109,2,0,3,90,25,275,270.8,269.2,272.5,278.3,263.9,243.8,268,288.2,311.8,0,0,0,1,0
45110,4,0,2,143.3,18,281.7,279.2,280,281.7,281.7,300.6,287.7,299.2,282.2,271.3,0,0,0,1,0
45111,3,0,8,20,20,143.3,156.7,150.8,142.5,144.2,132.4,135.9,159.6,127.6,109,0,1,0,0,0
45112,3,0,5,30,13,143.3,140,140,145.8,150,42.7,69.1,105,125.4,157.8,0,0,0,0,0
45113,2,0,6,36.7,22,215,214.2,191.7,205,220,304.2,241.9,235.2,203.2,224.3,0,0,0,0,0
45114,4,0,2,73.3,18,142.5,141.7,145,143.3,145,171.6,193.2,189.2,194.6,169,0,0,0,0,0
45115,3,0,2,103.3,18,220.8,210.8,215,203.3,200,279.1,252.8,239.2,234.2,201.2,0,0,0,1,0
45116,5,0,4,36.7,17,155,141.7,141.7,144.2,146.7,166.2,154.1,161.8,167.7,186.7,0,1,0,0,0
45117,1,0,4,30,24,102.5,110,110,111.7,110.8,132,117.4,148.1,112.8,80.2,0,0,0,0,0
45118,4,0,2,140,22,274.2,272.5,279.2,296.7,299.2,238.2,286.1,286.1,318.5,366.5,0,0,0,0,0
45119,5,0,4,43.3,19,170,152.5,159.2,154.2,157.5,138.1,135.9,152.9,194.3,196.2,0,0,0,0,0
45120,2,0,7,30,28,207.5,217.5,213.3,212.5,201.7,224.5,179.5,183.2,163.5,166,1,0,0,0,0
45121,4,0,4,73.3,26,277.5,292.5,280.8,280.8,289.2,283.5,287.6,278.6,299.2,337.2,0,0,0,1,0
45122,4,0,4,30,11,107.5,118.3,118.3,120,113.3,121.8,93.6,99.4,86.7,124.3,0,0,0,0,0
45123,3,0,7,16.7,27,111.7,112.5,120.8,125.8,117.5,108.8,141.2,170.9,171.6,167.1,0,0,0,0,0
45124,5,0,2,86.7,23,175,172.5,183.3,189.2,164.2,145.8,148.9,172.2,153.6,116.9,0,0,0,0,0
45125,3,0,1,136.7,27,138.3,135,140,143.3,147.5,142.2,139.9,172.8,165.8,165.8,0,0,0,0,0
45126,1,0,2,56.7,21,111.7,113.3,118.3,115.8,106.7,109.8,135.7,139.6,114.2,78.7,0,0,0,0,0
45127,1,0,4,30,22,119.2,120,126.7,125,121.7,149.5,140.7,129.7,165.9,155.2,0,0,0,0,0
45128,1,0,4,36.7,19,132.5,140.8,144.2,153.3,148.3,135.4,151.2,155.2,161.6,151,0,0,0,0,0
45129,2,0,3,36.7,19,115.8,114.2,114.2,102.5,112.5,109.2,122.2,134.8,106.3,113.4,0,0,0,0,0
45130,2,0,9,0,13,99.2,119.2,102.5,85.8,100,95.2,100.9,114.7,127.9,144.3,0,0,0,0,0
45131,5,0,9,23.3,18,190,182.5,185.8,185.8,180.8,139,183.1,191.7,173.1,174.7,0,0,0,0,0
45132,2,0,5,30,11,109.2,131.7,140.8,146.7,134.2,133.1,112.4,99.1,128.2,189.2,0,0,0,0,0
45133,4,0,3,40,24,117.5,120.8,110,106.7,115.8,141.4,139.2,113.4,117.6,118.8,0,0,0,0,0
45134,2,0,2,76.7,20,148.3,143.3,136.7,145.8,151.7,179.2,153.1,162.3,174.2,151.6,0,0,0,0,0
45135,2,0,4,33.3,20,160.8,182.5,206.7,121.7,33.3,89.1,83.8,33.1,79,70.9,0,0,0,0,0
45136,2,0,5,33.3,20,151.7,154.2,161.7,156.7,152.5,132.6,157,163.8,146.2,140.4,0,0,0,0,0
45137,3,0,6,26.7,17,157.5,159.2,160,155.8,154.2,189.9,175.5,156.5,139.8,160.7,0,0,0,0,0
45138,5,0,6,30,18,160.8,152.5,157.5,169.2,159.2,122.8,69.5,116.9,118.2,163.1,0,0,0,0,0
45139,4,0,6,20,13,120,125,110.8,122.5,112.5,118.9,128.2,132.1,125.2,164.2,0,0,0,0,0
45140,5,0,5,53.3,24,253.3,268.3,256.7,248.3,247.5,329.7,328.3,301.6,302.4,307.2,0,0,0,0,0
45141,3,0,8,20,23,155.8,148.3,163.3,150.8,134.2,116.4,153.8,167.8,158.4,145.3,0,0,0,0,0
45142,2,0,4,26.7,27,118.3,110.8,104.2,100,105,67.3,78.2,78.4,76.4,76,0,0,0,0,0
45143,3,0,4,53.3,24,214.2,210.8,206.7,199.2,194.2,193.4,181.2,187.5,146.9,166.7,0,0,0,0,0
45144,5,0,4,36.7,19,146.7,136.7,134.2,140.8,134.2,159.7,174.7,165,156.2,114.2,0,0,0,0,0
45145,2,0,3,60,25,170,176.7,175.8,189.2,200,183.6,185.3,188.2,210,204.7,1,0,0,0,0
45146,3,0,3,36.7,20,115.8,106.7,105.8,105,100.8,96.2,91.5,112.7,100.5,82.1,0,1,0,0,0
45147,1,0,2,76.7,21,152.5,150.8,154.2,154.2,146.7,162.1,192.3,169.5,150.9,130.6,0,0,0,0,0
45148,5,0,5,23.3,14,115,105,100.8,107.5,101.7,99.3,46.8,32,90.3,91.4,0,1,0,0,0
45149,1,0,3,40,21,119.2,119.2,116.7,110,110.8,98.7,68.4,95.3,86.8,77.8,0,1,0,0,0
45150,4,0,4,30,15,110.8,108.3,112.5,117.5,116.7,101.6,125,154.8,190.6,155.2,0,0,0,0,0
45151,3,0,7,33.3,23,204.2,217.5,238.3,230,213.3,271.8,245.4,236.7,196,199.4,0,0,0,1,0
45152,1,0,1,96.7,20,146.7,128.3,111.7,94.2,80.8,140.4,123.4,85.6,72.2,53.2,0,0,0,0,0
45153,1,0,6,33.3,20,175.8,181.7,182.5,194.2,191.7,139,157.8,161.8,136,168.3,0,0,0,0,0
45154,4,0,3,63.3,23,177.5,183.3,168.3,159.2,170,139.8,174.6,168.5,180.3,189.2,0,0,0,0,0
45155,3,0,2,46.7,20,106.7,109.2,100.8,103.3,89.2,74,44.5,68.8,75.5,90.3,0,0,0,0,0
45156,4,0,2,123.3,27,248.3,248.3,240,246.7,255.8,267.6,252.2,226.4,239.6,253.8,0,0,0,0,0
45157,1,0,3,60,22,176.7,171.7,167.5,181.7,184.2,202.8,208.5,177.6,167.9,181,0,0,0,0,0
45158,5,1,6,80,36,475.8,462.5,451.7,450,463.3,440.7,451.6,430.5,448.2,447.6,0,0,0,1,0
45159,1,0,2,56.7,19,120,117.5,108.3,114.2,112.5,74.8,57,56,95.4,133.2,0,0,0,0,0
45160,2,0,4,50,30,210,210.8,206.7,199.2,195,243.1,195.4,192.9,172.2,151.3,1,0,0,0,0
45161,2,0,1,126.7,14,117.5,107.5,112.5,124.2,125,146.2,122.3,152.2,151.2,138.1,0,0,0,0,0
45162,5,0,3,46.7,11,132.5,137.5,135,144.2,146.7,168.6,197.7,150.6,144.5,124.1,0,0,0,0,0
45163,5,0,1,176.7,21,164.2,182.5,175,182.5,177.5,206.7,189.6,195.8,184.8,155.1,0,0,0,0,0
45164,5,0,6,23.3,24,133.3,134.2,145.8,169.2,150.8,176.5,154.7,148.6,134.2,110.8,0,0,0,0,0
45165,5,0,2,53.3,18,118.3,104.2,102.5,106.7,110,86.8,117,121.4,108.8,93.9,0,0,0,0,0
45166,3,0,5,20,16,84.2,91.7,95.8,118.3,129.2,115.6,116.6,146.6,151.7,139.8,0,1,0,0,0
45167,5,0,4,70,24,281.7,280,275.8,284.2,276.7,326.5,282.1,283.1,254.8,252.3,0,0,0,0,0
45168,3,0,4,43.3,17,139.2,144.2,169.2,161.7,161.7,133.3,162.8,207.5,197.8,172.7,0,0,0,0,0
45169,5,0,0,0,23,144.2,145,143.3,137.5,143.3,141.7,122.2,134.2,151.6,133.8,0,0,0,0,0
45170,4,0,3,30,21,108.3,139.2,89.2,88.3,47.5,41.4,52.5,57.5,79.1,102.3,0,0,0,0,0
45171,5,0,4,30,21,114.2,111.7,118.3,124.2,115.8,126,97.7,91.2,107.3,122.7,0,0,0,0,0
45172,3,0,1,163.3,18,171.7,163.3,170,163.3,173.3,189.8,132.7,142.8,131.5,171.6,0,0,0,0,0
45173,3,0,4,40,23,166.7,159.2,160,154.2,166.7,169.2,177.2,133.8,110.4,117.2,0,0,0,0,0
45174,4,0,2,80,14,160,157.5,165.8,159.2,150,184.3,175.8,176.5,158.5,196.7,0,0,0,0,0
45175,3,0,1,150,17,146.7,148.3,146.7,147.5,142.5,160.6,156.3,126.9,150.1,172.7,0,0,0,0,0
45176,4,0,2,53.3,13,106.7,120,120,110.8,105.8,89.6,88.2,103.6,90.7,104.7,0,0,0,0,0
45177,1,0,5,23.3,26,110,109.2,109.2,116.7,123.3,121.4,125.7,118.3,130.8,142.2,0,0,0,0,0
45178,3,0,6,26.7,20,140.8,150.8,135.8,144.2,141.7,227.4,167.8,148.9,168.2,153,0,0,0,1,0
45179,3,0,2,53.3,26,105,106.7,105.8,102.5,102.5,99.8,125.3,76.3,45.3,54.8,0,0,0,0,0
45180,1,0,0,0,21,146.7,150.8,145,149.2,140,124.5,114.5,93.2,123.8,121.9,0,0,0,0,0
45181,5,0,7,23.3,14,151.7,146.7,145,153.3,150,113.8,139,162.8,168.4,160,0,0,0,0,0
45182,5,0,4,36.7,23,140,150.8,145.8,158.3,157.5,144,164.2,180.6,182.7,149.2,0,0,0,0,0
45183,4,0,3,40,24,100.8,112.5,100.8,108.3,83.3,125.6,135.2,121.8,96.4,92.3,0,0,0,0,0
45184,3,0,2,50,26,118.3,100,96.7,79.2,83.3,97.2,100.8,98.8,81.3,79.5,0,0,0,0,0
45185,4,0,2,66.7,22,101.7,125,114.2,130,127.5,124.8,161.8,162.9,148.6,156.5,0,0,0,0,0
45186,2,0,4,56.7,30,221.7,221.7,221.7,213.3,223.3,225.9,250.7,229.5,261.8,242.6,0,0,1,0,0
45187,1,0,4,43.3,27,173.3,143.3,175,185.8,165.8,157.1,167.5,150.2,153.1,159.1,1,0,0,0,0
45188,3,0,2,56.7,18,115,115.8,114.2,103.3,110.8,122,157.4,131.6,121.2,118.9,0,0,0,0,0
45189,3,0,1,106.7,18,117.5,111.7,105.8,105,109.2,122.8,139.6,140.1,100.1,96.8,0,0,0,0,0
45190,5,0,5,33.3,20,155,155.8,159.2,158.3,149.2,107,116.8,146.2,134.5,164.8,0,0,0,0,0
45191,1,0,4,53.3,19,197.5,187.5,198.3,189.2,201.7,161.8,194.1,243.2,216.4,225.7,0,0,0,1,0
45192,1,0,1,213.3,23,215.8,215,214.2,205.8,210.8,155.5,217.2,229.7,213.3,220.8,0,0,0,1,0
45193,4,0,1,246.7,23,232.5,235.8,236.7,238.3,245.8,298.2,297,291.2,277.8,270.5,0,1,0,0,0
45194,3,0,2,70,17,140,139.2,134.2,130.8,135.8,107,127.7,110.6,103.2,108.1,0,0,0,0,0
45195,5,0,2,76.7,20,139.2,147.5,143.3,151.7,150.8,165.3,148.9,159.9,207.5,161.1,0,0,0,0,0
45196,2,0,4,26.7,13,116.7,113.3,117.5,110,104.2,164.8,173.7,126.4,112.1,90.9,0,0,0,0,0
45197,1,0,2,56.7,18,114.2,124.2,107.5,112.5,110,139.2,153.8,146.7,136.5,122.2,0,0,0,0,0
45198,5,0,2,56.7,19,105.8,104.2,110,110,109.2,95.4,86.2,71.6,108.8,76.8,0,0,0,0,0
45199,2,0,5,30,27,140.8,134.2,145.8,145,144.2,125.1,123.7,117.7,179.9,127.2,0,1,0,0,0
45200,5,0,5,26.7,19,137.5,123.3,122.5,129.2,118.3,137.2,118.5,111.7,103.8,105.4,0,1,0,0,0
45201,2,0,3,50,19,116.7,80.8,145.8,148.3,150.8,67.4,69.3,100.8,111.2,142,0,0,0,0,0
45202,4,0,2,66.7,24,130.8,136.7,141.7,145.8,160,143.1,119.2,138.1,183.2,198,0,0,0,0,0
45203,3,0,3,36.7,18,102.5,100,106.7,102.5,100.8,111.8,81.6,63.7,44.5,73.8,0,0,0,0,0
45204,3,0,5,30,21,150.8,149.2,142.5,147.5,142.5,107.9,99.9,131.4,146.6,136.3,0,0,0,0,0
45205,1,0,8,20,22,153.3,158.3,155,138.3,135.8,116.6,126.1,127.7,119.4,113.3,0,0,0,0,0
45206,1,0,4,33.3,19,110,110,110.8,117.5,120.8,172.2,163.7,152.2,160.4,127.1,0,0,0,0,0
45207,2,0,10,16.7,17,139.2,143.3,144.2,140.8,140.8,128.2,120.2,140.8,130.5,151.2,0,0,0,0,0
45208,1,0,3,56.7,21,169.2,172.5,172.5,185.8,179.2,133.7,156.6,197.2,175.5,182.5,0,0,0,0,0
45209,5,0,5,40,24,198.3,190,192.5,176.7,173.3,155.7,169.9,199.8,200.2,192.8,0,0,0,0,0
45210,1,0,7,20,20,141.7,149.2,125,127.5,128.3,153.7,153.3,132.1,150.2,93.9,0,0,0,0,0
45211,2,0,4,40,27,152.5,157.5,160.8,156.7,155.8,143.2,98.2,114.8,169.9,179.2,0,1,0,0,0
45212,5,0,1,203.3,21,198.3,202.5,155,192.5,120.8,128.8,129.9,96.4,100.2,121,0,1,0,0,0
45213,5,0,4,40,19,146.7,139.2,145,158.3,157.5,200.2,181.3,174.9,164.1,166.5,0,0,0,0,0
45214,4,0,4,36.7,19,115,116.7,141.7,149.2,143.3,99.2,123.2,117.2,165.2,164.2,0,0,0,0,0
45215,1,0,4,30,21,113.3,123.3,112.5,115.8,109.2,112.8,106.5,145.7,121.5,71.7,0,0,0,0,0
45216,2,0,6,20,16,110.8,116.7,126.7,131.7,130.8,95.2,85.6,95.3,125.1,133.4,0,0,0,0,0
45217,5,0,1,110,22,125.8,118.3,113.3,113.3,109.2,107.6,113.2,109.1,130.1,119.7,0,0,0,0,0
45218,1,0,7,16.7,25,111.7,117.5,110.8,115,110,27.8,30.8,42.8,57.8,97.6,0,0,0,0,0
45219,5,0,9,0,23,95,103.3,98.3,108.3,106.7,115.8,121.3,76.4,99.1,88,0,0,0,0,0
